Player Name,Category,Country, Base Price 
Riyan Parag,All-rounder, India,20000000
Shimron Hetmyer,Batsman, West Indies,40000000
Sandeep Sharma,Fast Bowler, India,20000000
Virat Kohli,Batsman, India,40000000
Rajat Patidar,Batsman, India,20000000
Yash Dayal,Fast Bowler, India,20000000
Heinrich Klaasen,Wicket-keeper, South Africa,40000000
Pat Cummins,Fast Bowler, Australia,40000000
Abhishek Sharma,Batsman, India,20000000
Travis Head,Batsman, Australia,40000000
Nitish Kumar Reddy,All-rounder, India,20000000
